time	V(vout)
1.976319151839043e-03	1.693292e+00
1.978647050696060e-03	1.631285e+00
1.982418558230042e-03	1.458969e+00
1.988412809960219e-03	1.041850e+00
1.997377579550982e-03	2.356114e-01
2.007406561179493e-03	-7.283392e-01
2.013253331654367e-03	-1.228984e+00
2.016945856218242e-03	-1.476523e+00
2.019516230512631e-03	-1.605952e+00
2.021396891434666e-03	-1.675889e+00
2.022985798854236e-03	-1.717806e+00
2.024513697697129e-03	-1.742888e+00
2.026319202902502e-03	-1.753195e+00
2.028647133733487e-03	-1.734476e+00
2.032418692077544e-03	-1.632188e+00
2.038413018934592e-03	-1.326007e+00
2.047377875894854e-03	-6.846674e-01
2.057406750293624e-03	9.634417e-02
2.063253443930266e-03	4.913805e-01
2.066945931658050e-03	6.728240e-01
2.069516284724494e-03	7.565370e-01
2.071396931738410e-03	7.931845e-01
2.072985848975902e-03	8.070857e-01
2.074513708880826e-03	8.053266e-01
2.076319207062555e-03	7.840451e-01
2.078647140498405e-03	7.248230e-01
2.082418702981871e-03	5.574882e-01
2.088413035959361e-03	1.494039e-01
2.097377900037405e-03	-6.410761e-01
2.107406765700270e-03	-1.584677e+00
2.113253453077115e-03	-2.072016e+00
2.116945937803959e-03	-2.310475e+00
2.119516289141013e-03	-2.433295e+00
2.121396935021867e-03	-2.498257e+00
2.122985853059204e-03	-2.535879e+00
2.124513709791938e-03	-2.556752e+00
2.126319207401465e-03	-2.561985e+00
2.128647141049527e-03	-2.536543e+00
2.132418703870220e-03	-2.422931e+00
2.138413037346328e-03	-2.101742e+00
2.146424531506757e-03	-1.506446e+00
2.156703850198036e-03	-6.636931e-01
2.162838790541231e-03	-2.174076e-01
2.166668510777986e-03	-7.668195e-03
2.169317357602435e-03	9.286294e-02
2.171249201924088e-03	1.406322e-01
2.172802070378559e-03	1.619639e-01
2.174472731373890e-03	1.680253e-01
2.176303963424059e-03	1.549491e-01
2.178622351504381e-03	1.063822e-01
2.182378743020978e-03	-4.306358e-02
2.188350632902587e-03	-4.213925e-01
2.197289349974596e-03	-1.167332e+00
2.206338644670655e-03	-1.977693e+00
2.212915964786806e-03	-2.502646e+00
2.216719962731139e-03	-2.735858e+00
2.219354186189894e-03	-2.851057e+00
2.221276527345269e-03	-2.909290e+00
2.222836073151328e-03	-2.939173e+00
2.224480309124782e-03	-2.953845e+00
2.226306782508887e-03	-2.950176e+00
2.228626935917968e-03	-2.912899e+00
2.232386133528287e-03	-2.780093e+00
2.238362176340311e-03	-2.424381e+00
2.247305738768448e-03	-1.705829e+00
2.257489364858021e-03	-8.196915e-01
2.263347409750390e-03	-3.694589e-01
2.267009129622815e-03	-1.552442e-01
2.269561721609833e-03	-4.787847e-02
2.271430720109351e-03	6.517278e-03
2.273027864933447e-03	3.603452e-02
2.274532644142515e-03	4.910447e-02
2.276326250288188e-03	4.575946e-02
2.278658593838480e-03	9.811306e-03
2.282437163954430e-03	-1.196073e-01
2.288441855785536e-03	-4.669054e-01
2.297418756714058e-03	-1.165441e+00
2.306456013367672e-03	-1.921927e+00
2.312970806829002e-03	-2.402779e+00
2.316756576242999e-03	-2.612113e+00
2.319380411894370e-03	-2.711294e+00
2.321295992716120e-03	-2.758023e+00
2.322860292523238e-03	-2.778831e+00
2.324485707550835e-03	-2.783861e+00
2.326308790793223e-03	-2.769625e+00
2.328630201786973e-03	-2.718987e+00
2.332391398302988e-03	-2.564665e+00
2.338370398948874e-03	-2.175033e+00
2.347317410427750e-03	-1.407500e+00
2.358441458506636e-03	-3.841969e-01
2.363873952795176e-03	5.348064e-02
2.367365502034062e-03	2.682777e-01
2.369818756763479e-03	3.800491e-01
2.371622169900587e-03	4.392567e-01
2.373265814810541e-03	4.754624e-01
2.374955360908783e-03	4.962962e-01
2.376483408440216e-03	4.988250e-01
2.378914112545011e-03	4.693061e-01
2.382848706178991e-03	3.468157e-01
2.389082724170618e-03	3.923889e-03
2.398320883836812e-03	-6.813077e-01
2.407996856024457e-03	-1.441506e+00
2.413605771454717e-03	-1.816427e+00
2.417183519800060e-03	-1.988093e+00
2.419687329143932e-03	-2.067058e+00
2.421524212281516e-03	-2.101062e+00
2.423144089777631e-03	-2.113463e+00
2.424739135166952e-03	-2.109922e+00
2.426403034036700e-03	-2.088349e+00
2.428783444957052e-03	-2.024514e+00
2.432638326891595e-03	-1.847259e+00
2.438755499805732e-03	-1.418505e+00
2.447861803259739e-03	-5.979509e-01
2.457712385689763e-03	3.441692e-01
2.463435424297348e-03	8.291683e-01
2.467068435243030e-03	1.069568e+00
2.469604400131631e-03	1.195628e+00
2.471462472434355e-03	1.263779e+00
2.473067343260170e-03	1.305406e+00
2.474602786876379e-03	1.330094e+00
2.476352337333896e-03	1.339578e+00
2.478701013856331e-03	1.320122e+00
2.482505528006228e-03	1.216185e+00
2.488548527506109e-03	9.066273e-01
2.497569767185274e-03	2.627414e-01
2.507528694641329e-03	-5.066809e-01
2.513325924770218e-03	-8.928038e-01
2.516994668881143e-03	-1.069055e+00
2.519551321000377e-03	-1.149518e+00
2.521422984398602e-03	-1.183926e+00
2.523018246113621e-03	-1.196157e+00
2.524520938739385e-03	-1.192824e+00
2.526321896355946e-03	-1.169675e+00
2.528651513711544e-03	-1.107917e+00
2.532425752048746e-03	-9.361928e-01
2.538424041125532e-03	-5.204950e-01
2.547393504497722e-03	2.823140e-01
2.557416720302854e-03	1.239733e+00
2.563259363626783e-03	1.735670e+00
