time	V(transmit_electrode)
1.823029684102059e-03	4.789415e-02
1.824535876407152e-03	5.362409e-02
1.826327452530566e-03	5.466735e-02
1.828660548848441e-03	4.666828e-02
1.832440315003451e-03	1.194276e-02
1.838446774351606e-03	-9.285007e-02
1.847425727113873e-03	-3.286880e-01
1.856798119363652e-03	-5.987241e-01
1.863026649233622e-03	-7.441833e-01
1.866793900585128e-03	-8.063022e-01
1.869407162331520e-03	-8.352011e-01
1.871315853433132e-03	-8.483058e-01
1.872885001547177e-03	-8.538120e-01
1.874491216016801e-03	-8.544263e-01
1.876310839975517e-03	-8.489345e-01
1.878633534150696e-03	-8.324164e-01
1.882396770172980e-03	-7.837123e-01
1.888378788315382e-03	-6.561225e-01
1.897329316744560e-03	-3.841475e-01
1.907375728742278e-03	-5.132784e-02
1.913235031934203e-03	1.102213e-01
1.916933562696354e-03	1.878705e-01
1.919507397098934e-03	2.282872e-01
1.921390324562913e-03	2.501550e-01
1.922977632181686e-03	2.633311e-01
1.924511875524801e-03	2.714043e-01
1.926318525098395e-03	2.749884e-01
1.928646031513887e-03	2.702064e-01
1.932416915411716e-03	2.406871e-01
1.938410245023345e-03	1.440691e-01
1.947373942142132e-03	-8.020712e-02
1.957404239737183e-03	-3.565373e-01
1.963251953460699e-03	-4.842812e-01
1.966944930204064e-03	-5.404179e-01
1.969515565073977e-03	-5.657910e-01
1.971396396717051e-03	-5.766159e-01
1.972985183623505e-03	-5.804614e-01
1.974513560420482e-03	-5.794927e-01
1.976319151839043e-03	-5.724049e-01
1.978647050696060e-03	-5.538110e-01
1.982418558230042e-03	-5.017805e-01
1.988412809960219e-03	-3.690757e-01
1.997377579550982e-03	-9.025168e-02
2.007406561179493e-03	2.476358e-01
2.013253331654367e-03	4.114744e-01
2.016945856218242e-03	4.904678e-01
2.019516230512631e-03	5.317714e-01
2.021396891434666e-03	5.542595e-01
2.022985798854236e-03	5.679625e-01
2.024513697697129e-03	5.764745e-01
2.026319202902502e-03	5.805913e-01
2.028647133733487e-03	5.764416e-01
2.032418692077544e-03	5.478006e-01
2.038413018934592e-03	4.522105e-01
2.047377875894854e-03	2.286577e-01
2.057406750293624e-03	-4.791779e-02
2.063253443930266e-03	-1.763619e-01
2.066945931658050e-03	-2.331630e-01
2.069516284724494e-03	-2.590998e-01
2.071396931738410e-03	-2.703895e-01
2.072985848975902e-03	-2.746622e-01
2.074513708880826e-03	-2.741337e-01
2.076319207062555e-03	-2.676032e-01
2.078647140498405e-03	-2.497854e-01
2.082418702981871e-03	-1.991495e-01
2.088413035959361e-03	-6.900966e-02
2.097377900037405e-03	2.051852e-01
2.107406765700270e-03	5.367743e-01
2.113253453077115e-03	6.964089e-01
2.116945937803959e-03	7.725494e-01
2.119516289141013e-03	8.117777e-01
2.121396935021867e-03	8.327013e-01
2.122985853059204e-03	8.450524e-01
2.124513709791938e-03	8.522381e-01
2.126319207401465e-03	8.547551e-01
2.128647141049527e-03	8.484910e-01
2.132418703870220e-03	8.163006e-01
2.138413037346328e-03	7.147599e-01
2.146424531506757e-03	5.091888e-01
2.156703850198036e-03	2.120903e-01
2.162838790541231e-03	6.587648e-02
2.166668510777986e-03	-2.606763e-05
2.169317357602435e-03	-3.134966e-02
2.171249201924088e-03	-4.614865e-02
2.172802070378559e-03	-5.291359e-02
2.174472731373890e-03	-5.497684e-02
2.176303963424059e-03	-5.097472e-02
2.178622351504381e-03	-3.655165e-02
2.182378743020978e-03	8.324997e-03
2.188350632902587e-03	1.287946e-01
2.197289349974596e-03	3.880814e-01
2.206338644670655e-03	6.752148e-01
2.212915964786806e-03	8.491604e-01
2.216719962731139e-03	9.229560e-01
2.219354186189894e-03	9.596283e-01
2.221276527345269e-03	9.782581e-01
2.222836073151328e-03	9.881207e-01
2.224480309124782e-03	9.933196e-01
2.226306782508887e-03	9.927853e-01
2.228626935917968e-03	9.825712e-01
2.232386133528287e-03	9.440570e-01
2.238362176340311e-03	8.325552e-01
2.247305738768448e-03	5.841674e-01
2.257489364858021e-03	2.727490e-01
2.263347409750390e-03	1.263746e-01
2.267009129622815e-03	5.885589e-02
2.269561721609833e-03	2.513437e-02
2.271430720109351e-03	7.995002e-03
2.273027864933447e-03	-1.390862e-03
2.274532644142515e-03	-5.712718e-03
2.276326250288188e-03	-5.089759e-03
2.278658593838480e-03	5.068523e-03
2.282437163954430e-03	4.325541e-02
2.288441855785536e-03	1.534618e-01
2.297418756714058e-03	3.972344e-01
2.306456013367672e-03	6.661762e-01
2.312970806829002e-03	8.252276e-01
2.316756576242999e-03	8.910758e-01
2.319380411894370e-03	9.223934e-01
2.321295992716120e-03	9.371852e-01
2.322860292523238e-03	9.440028e-01
2.324485707550835e-03	9.459734e-01
2.326308790793223e-03	9.419319e-01
2.328630201786973e-03	9.272600e-01
2.332391398302988e-03	8.815265e-01
2.338370398948874e-03	7.585840e-01
2.347317410427750e-03	4.932820e-01
2.358441458506636e-03	1.354232e-01
2.363873952795176e-03	-5.334864e-03
2.367365502034062e-03	-7.346930e-02
2.369818756763479e-03	-1.088641e-01
2.371622169900587e-03	-1.278044e-01
2.373265814810541e-03	-1.396500e-01
2.374955360908783e-03	-1.463455e-01
2.376483408440216e-03	-1.475870e-01
2.378914112545011e-03	-1.402032e-01
2.382848706178991e-03	-1.047281e-01
2.389082724170618e-03	4.221838e-03
2.398320883836812e-03	2.454907e-01
2.407996856024457e-03	5.139957e-01
2.413605771454717e-03	6.355258e-01
2.417183519800060e-03	6.894941e-01
2.419687329143932e-03	7.141384e-01
2.421524212281516e-03	7.247934e-01
2.423144089777631e-03	7.287791e-01
2.424739135166952e-03	7.276580e-01
2.426403034036700e-03	7.211176e-01
2.428783444957052e-03	7.022802e-01
2.432638326891595e-03	6.488746e-01
2.438755499805732e-03	5.122844e-01
2.447861803259739e-03	2.278545e-01
2.457712385689763e-03	-1.016271e-01
2.463435424297348e-03	-2.598477e-01
2.467068435243030e-03	-3.364641e-01
2.469604400131631e-03	-3.766301e-01
2.471462472434355e-03	-3.985262e-01
2.473067343260170e-03	-4.121099e-01
2.474602786876379e-03	-4.203948e-01
2.476352337333896e-03	-4.241779e-01
2.478701013856331e-03	-4.198287e-01
2.482505528006228e-03	-3.905745e-01
2.488548527506109e-03	-2.935660e-01
2.497569767185274e-03	-6.841717e-02
2.507528694641329e-03	2.041548e-01
2.513325924770218e-03	3.296009e-01
2.516994668881143e-03	3.847837e-01
2.519551321000377e-03	4.097162e-01
2.521422984398602e-03	4.203256e-01
2.523018246113621e-03	4.240668e-01
